image_id,feature_name,feature_value,label
..\data\datasets\yacine\original_splits\train\pools\img229.jpg,has_blue,0,pools
..\data\datasets\yacine\original_splits\train\pools\img586.jpg,has_blue,1,pools
..\data\datasets\yacine\original_splits\train\pools\img312.jpg,has_blue,1,pools
..\data\datasets\yacine\original_splits\train\pools\img1115.jpg,has_blue,1,pools
..\data\datasets\yacine\original_splits\train\pools\img1072.jpg,has_blue,1,pools
..\data\datasets\yacine\original_splits\train\pools\img156.jpg,has_blue,1,pools
..\data\datasets\yacine\original_splits\train\no_pools\img1414.jpg,has_blue,0,no_pools
..\data\datasets\yacine\original_splits\train\no_pools\img559.jpg,has_blue,0,no_pools
..\data\datasets\yacine\original_splits\train\pools\img989.jpg,has_blue,0,pools
..\data\datasets\yacine\original_splits\train\pools\img773.jpg,has_blue,1,pools
..\data\datasets\yacine\original_splits\train\pools\img986.jpg,has_blue,0,pools
..\data\datasets\yacine\original_splits\train\no_pools\img730.jpg,has_blue,0,no_pools
..\data\datasets\yacine\original_splits\train\no_pools\img1268.jpg,has_blue,0,no_pools
..\data\datasets\yacine\original_splits\train\no_pools\img773.jpg,has_blue,1,no_pools
..\data\datasets\yacine\original_splits\train\no_pools\img178.jpg,has_blue,0,no_pools
..\data\datasets\yacine\original_splits\train\no_pools\img769.jpg,has_blue,1,no_pools
..\data\datasets\yacine\original_splits\train\pools\img1001.jpg,has_blue,1,pools
..\data\datasets\yacine\original_splits\train\no_pools\img383.jpg,has_blue,0,no_pools
..\data\datasets\yacine\original_splits\train\pools\img47.jpg,has_blue,1,pools
..\data\datasets\yacine\original_splits\train\pools\img898.jpg,has_blue,1,pools
..\data\datasets\yacine\original_splits\train\no_pools\img418.jpg,has_blue,0,no_pools
..\data\datasets\yacine\original_splits\train\pools\img167.jpg,has_blue,1,pools
..\data\datasets\yacine\original_splits\train\no_pools\img1110.jpg,has_blue,0,no_pools
..\data\datasets\yacine\original_splits\train\no_pools\img625.jpg,has_blue,0,no_pools
..\data\datasets\yacine\original_splits\train\pools\img1183.jpg,has_blue,1,pools
..\data\datasets\yacine\original_splits\train\no_pools\img1471.jpg,has_blue,0,no_pools
..\data\datasets\yacine\original_splits\train\no_pools\img1376.jpg,has_blue,0,no_pools
..\data\datasets\yacine\original_splits\train\no_pools\img114.jpg,has_blue,0,no_pools
..\data\datasets\yacine\original_splits\train\no_pools\img71.jpg,has_blue,0,no_pools
..\data\datasets\yacine\original_splits\train\pools\img589.jpg,has_blue,1,pools
..\data\datasets\yacine\original_splits\train\pools\img164.jpg,has_blue,1,pools
..\data\datasets\yacine\original_splits\train\pools\img412.jpg,has_blue,1,pools
..\data\datasets\yacine\original_splits\train\pools\img691.jpg,has_blue,1,pools
..\data\datasets\yacine\original_splits\train\no_pools\img377.jpg,has_blue,0,no_pools
..\data\datasets\yacine\original_splits\train\no_pools\img568.jpg,has_blue,1,no_pools
..\data\datasets\yacine\original_splits\train\no_pools\img650.jpg,has_blue,1,no_pools
..\data\datasets\yacine\original_splits\train\no_pools\img220.jpg,has_blue,0,no_pools
..\data\datasets\yacine\original_splits\train\pools\img1393.jpg,has_blue,1,pools
..\data\datasets\yacine\original_splits\train\no_pools\img488.jpg,has_blue,1,no_pools
..\data\datasets\yacine\original_splits\train\no_pools\img1140.jpg,has_blue,1,no_pools
..\data\datasets\yacine\original_splits\train\pools\img295.jpg,has_blue,1,pools
..\data\datasets\yacine\original_splits\train\no_pools\img915.jpg,has_blue,1,no_pools
..\data\datasets\yacine\original_splits\train\pools\img551.jpg,has_blue,1,pools
..\data\datasets\yacine\original_splits\train\pools\img524.jpg,has_blue,1,pools
..\data\datasets\yacine\original_splits\train\no_pools\img1239.jpg,has_blue,1,no_pools
..\data\datasets\yacine\original_splits\train\pools\img1467.jpg,has_blue,1,pools
..\data\datasets\yacine\original_splits\train\no_pools\img1473.jpg,has_blue,1,no_pools
..\data\datasets\yacine\original_splits\train\no_pools\img221.jpg,has_blue,1,no_pools
..\data\datasets\yacine\original_splits\train\pools\img754.jpg,has_blue,1,pools
..\data\datasets\yacine\original_splits\train\no_pools\img1214.jpg,has_blue,0,no_pools
..\data\datasets\yacine\original_splits\train\no_pools\img722.jpg,has_blue,1,no_pools
..\data\datasets\yacine\original_splits\train\no_pools\img256.jpg,has_blue,0,no_pools
..\data\datasets\yacine\original_splits\train\pools\img1408.jpg,has_blue,1,pools
..\data\datasets\yacine\original_splits\train\no_pools\img1029.jpg,has_blue,0,no_pools
..\data\datasets\yacine\original_splits\train\pools\img438.jpg,has_blue,1,pools
..\data\datasets\yacine\original_splits\train\no_pools\img38.jpg,has_blue,0,no_pools
..\data\datasets\yacine\original_splits\train\no_pools\img558.jpg,has_blue,1,no_pools
..\data\datasets\yacine\original_splits\train\pools\img999.jpg,has_blue,1,pools
..\data\datasets\yacine\original_splits\train\no_pools\img379.jpg,has_blue,1,no_pools
..\data\datasets\yacine\original_splits\train\pools\img1500.jpg,has_blue,0,pools
..\data\datasets\yacine\original_splits\train\no_pools\img314.jpg,has_blue,0,no_pools
..\data\datasets\yacine\original_splits\train\pools\img558.jpg,has_blue,1,pools
..\data\datasets\yacine\original_splits\train\no_pools\img924.jpg,has_blue,0,no_pools
..\data\datasets\yacine\original_splits\train\no_pools\img1021.jpg,has_blue,1,no_pools
..\data\datasets\yacine\original_splits\train\pools\img545.jpg,has_blue,1,pools
..\data\datasets\yacine\original_splits\train\no_pools\img301.jpg,has_blue,0,no_pools
..\data\datasets\yacine\original_splits\train\pools\img1343.jpg,has_blue,1,pools
..\data\datasets\yacine\original_splits\train\pools\img1262.jpg,has_blue,1,pools
..\data\datasets\yacine\original_splits\train\pools\img16.jpg,has_blue,1,pools
