image_id,feature_value,feature_name,label
..\data\datasets\yacine\original_splits\train\pools\img229.jpg,0.33859330143540667,mean,pools
..\data\datasets\yacine\original_splits\train\pools\img229.jpg,0.1548765585111466,std,pools
..\data\datasets\yacine\original_splits\train\pools\img229.jpg,68.0,median,pools
..\data\datasets\yacine\original_splits\train\pools\img229.jpg,73.0,mode,pools
..\data\datasets\yacine\original_splits\train\pools\img229.jpg,1.0,min,pools
..\data\datasets\yacine\original_splits\train\pools\img229.jpg,73.0,max,pools
..\data\datasets\yacine\original_splits\train\pools\img229.jpg,72.0,range,pools
..\data\datasets\yacine\original_splits\train\pools\img229.jpg,-0.03885973212939703,skewness,pools
..\data\datasets\yacine\original_splits\train\pools\img229.jpg,0.01233411698126721,kurtosis,pools
..\data\datasets\yacine\original_splits\train\pools\img229.jpg,0.02748128030035942,uniformity,pools
..\data\datasets\yacine\original_splits\train\pools\img229.jpg,0.8991167058052885,entropy,pools
..\data\datasets\yacine\original_splits\train\pools\img229.jpg,8.444837026289065e-05,R,pools
..\data\datasets\yacine\original_splits\train\pools\img586.jpg,0.4341861751152074,mean,pools
..\data\datasets\yacine\original_splits\train\pools\img586.jpg,0.17251642585671023,std,pools
..\data\datasets\yacine\original_splits\train\pools\img586.jpg,94.0,median,pools
..\data\datasets\yacine\original_splits\train\pools\img586.jpg,104.0,mode,pools
..\data\datasets\yacine\original_splits\train\pools\img586.jpg,6.0,min,pools
..\data\datasets\yacine\original_splits\train\pools\img586.jpg,104.0,max,pools
..\data\datasets\yacine\original_splits\train\pools\img586.jpg,98.0,range,pools
..\data\datasets\yacine\original_splits\train\pools\img586.jpg,-0.08937276881087611,skewness,pools
..\data\datasets\yacine\original_splits\train\pools\img586.jpg,0.03782540406596288,kurtosis,pools
..\data\datasets\yacine\original_splits\train\pools\img586.jpg,0.013101131980717365,uniformity,pools
..\data\datasets\yacine\original_splits\train\pools\img586.jpg,0.985590186045988,entropy,pools
..\data\datasets\yacine\original_splits\train\pools\img586.jpg,2.9939018258096084e-05,R,pools
..\data\datasets\yacine\original_splits\train\pools\img312.jpg,0.43231896551724136,mean,pools
