image_id,mean_red,mean_green,mean_blue,mean_grayscale,std_red,std_green,std_blue,std_grayscale,median_red,median_green,median_blue,median_grayscale,mode_red,mode_green,mode_blue,mode_grayscale,min_red,min_green,min_blue,min_grayscale,max_red,max_green,max_blue,max_grayscale,range_red,range_green,range_blue,range_grayscale,skewness_red,skewness_green,skewness_blue,skewness_grayscale,kurtosis_red,kurtosis_green,kurtosis_blue,kurtosis_grayscale,entropy_red,entropy_green,entropy_blue,entropy_grayscale,quantile_0.25_red,quantile_0.25_green,quantile_0.25_blue,quantile_0.25_grayscale,quantile_0.75_red,quantile_0.75_green,quantile_0.75_blue,quantile_0.75_grayscale,iqr_red,iqr_green,iqr_blue,iqr_grayscale,mean_histogram,std_histogram,median_histogram,mode_histogram,min_histogram,max_histogram,range_histogram,skewness_histogram,kurtosis_histogram,uniformity_histogram,entropy_histogram,R_histogram,contrast_coocurrence_matrix,dissimilarity_coocurrence_matrix,homogeneity_coocurrence_matrix,energy_coocurrence_matrix,correlation_coocurrence_matrix,has_blue_color,label
..\data\train\no_pools\img508.jpg,50.7592,77.6504,59.4052,62.2016,5.836815515330256,5.813448188467839,6.478534784964885,5.9316909427245115,51.0,78.0,59.5,63.0,51.0,79.0,59.0,61.0,31.0,57.0,37.0,42.0,70.0,97.0,82.0,83.0,39.0,40.0,45.0,41.0,-0.2568586520760055,-0.23862818707304534,-0.1565917688793014,-0.22235292980938234,-0.12071077857207957,-0.09036360265590693,-0.1356495561893527,-0.1253337390913627,0.8772302974520981,0.864212920226054,0.8818846033301522,0.8750297176902662,41.82455549568966,67.93023255813954,48.834275265957444,52.7607421875,45.79554763349515,72.78509221311475,52.93861607142857,56.789448832417584,3.9709921378054887,4.854859654975215,4.104340805471125,4.028706644917584,3.064448780487805,6.441180806309898,131.0,118.0,1.0,118.0,117.0,-132.81921435069006,369.4034091981916,1.865616937727543,1.5216737835370338,0.006648187956409757,22.060816326530613,3.6714285714285717,0.23915540929208123,0.05878330447186006,0.6861950551627449,0,no_pools
..\data\train\no_pools\img824.jpg,68.1076,85.4936,87.5184,80.028,45.83904909833973,46.22055342637083,50.71807627897572,47.23227726883386,56.0,74.0,73.0,66.0,44.0,62.0,48.0,50.0,0.0,0.0,0.0,0.0,254.0,255.0,255.0,254.0,254.0,255.0,255.0,254.0,1.5037306583975742,1.2258880255977473,0.9792595703179446,1.2331680364544158,2.8226979442409776,1.9708094348874834,0.6718851669392509,1.750547030208586,0.9099540220106052,0.91665774899588,0.9299493916836494,0.9159086038055089,0.0,5.992838541666667,6.009114583333333,5.130580357142857,5.136284722222222,14.53125,15.986328125,10.856026785714286,5.136284722222222,8.538411458333332,9.977213541666668,5.72544642857143,0.3156314960629921,0.18628087326051085,66.0,50.0,127.0,50.0,-77.0,-0.029188441631862308,0.008969037250434533,0.008703135291710585,0.910951031470278,1.8496249115540486e-05,515.0991836734694,14.542448979591835,0.10120037735616225,0.020215416321697623,0.8858100660943619,0,no_pools
..\data\train\no_pools\img247.jpg,38.2108,40.142,38.2176,38.556,23.39822137171969,22.919499034664785,23.524554198539022,23.200165171825827,34.0,37.0,34.0,35.0,35.0,36.0,35.0,35.0,0.0,0.0,0.0,0.0,233.0,232.0,230.0,231.0,233.0,232.0,230.0,231.0,2.5784838593489634,2.5080266912527436,2.6424940661579477,2.601707378348063,11.331959485532554,11.380566083411773,11.565755001098168,11.579900587841516,0.8374576886229295,0.8386607624497143,0.8307197895187561,0.8297463877127749,0.0,0.06640625,0.0,0.0,4.678515625,4.84375,4.4453125,4.5328125,4.678515625,4.77734375,4.4453125,4.5328125,0.18295757575757574,0.10734324617623676,38.0,38.0,10.0,38.0,28.0,-0.004486366373662714,0.000727905333970382,0.02772504035531568,0.8092575644488788,8.955264001386798e-05,474.6551020408163,13.963673469387754,0.10370026062858265,0.03043486021601183,0.5653158490468391,1,no_pools
..\data\train\no_pools\img165.jpg,110.5764,110.794,103.0824,107.8196,66.28960222417993,65.77111496698228,65.86267843202248,62.7760324952127,101.0,102.0,93.0,97.0,255.0,255.0,0.0,82.0,0.0,0.0,0.0,0.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.5208681612195177,0.533145900535759,0.5951751300497441,0.6491712632598409,-0.4539987891380135,-0.33835793381863777,-0.3710860560393119,-0.30293917253603553,0.9581815414964535,0.9509104109334848,0.9560274061163799,0.9643644795584877,0.0,0.0,0.0,5.013020833333333,3.310546875,0.65625,0.0,14.47998046875,3.310546875,0.65625,0.0,9.466959635416668,0.4228219607843138,0.24570480088234287,97.0,82.0,3.0,82.0,79.0,-0.07299725112125464,0.030470026621116503,0.005474364943944636,0.9674377126850351,6.005501496320065e-06,1555.3799999999994,28.72122448979591,0.04478992692326607,0.01623956429720633,0.8044297953560203,1,no_pools
..\data\train\pools\img736.jpg,148.3292,148.2488,139.5996,145.0552,60.86336194591948,63.26674717859296,65.06287481997703,61.71447928128374,133.0,143.0,135.0,139.5,255.0,98.0,84.0,104.0,0.0,0.0,0.0,0.0,255.0,255.0,255.0,253.0,255.0,255.0,255.0,253.0,0.2064480421499333,-0.02246460481543377,-0.01520920038431834,0.011301583106484043,-0.9194407352722767,-1.0730868568014549,-1.2615160649946822,-1.0652530173512362,0.9540581204491598,0.9632401017450807,0.9597901221748191,0.9661059317593307,21.946614583333332,15.48828125,10.657552083333334,15.47578125,41.220703125,33.6328125,27.98828125,33.3271484375,19.274088541666668,18.14453125,17.330729166666664,17.8513671875,0.5782166007905138,0.24512038780173043,140.0,105.0,7.0,105.0,98.0,-0.19000867495715668,0.10881167169303975,0.005650374696058367,0.9698137311852847,6.448931524127843e-06,1174.2551020408162,23.68775510204081,0.05902738561835949,0.016954750273929484,0.8461486545365993,1,pools
..\data\train\pools\img1102.jpg,123.8864,130.6632,124.4632,126.0192,65.24722135876746,61.5215682973053,66.85453945514844,62.61815416762139,104.0,123.0,115.0,122.0,74.0,131.0,0.0,75.0,0.0,0.0,0.0,0.0,255.0,255.0,255.0,254.0,255.0,255.0,255.0,254.0,0.45050069839745355,0.30393395721666483,0.08833968137406871,0.23671294849903482,-0.8006441167960974,-0.6334593724479829,-1.1970315581835924,-0.8044704803306688,0.9502399085399451,0.9459753559381693,0.9566728112572179,0.9548635098721255,4.0087890625,5.25390625,0.0,3.015625,16.47216796875,18.837890625,8.82421875,14.8015625,12.46337890625,13.583984375,8.82421875,11.7859375,0.4980346456692913,0.2472210134174789,122.0,75.0,37.0,75.0,38.0,-0.11990804410598924,0.058980589675921284,0.006281444176328352,0.9589107339123466,9.036778649496036e-06,1015.3702040816328,20.610204081632656,0.0841973920429056,0.018635234637977997,0.8697249074935772,1,pools
..\data\train\pools\img369.jpg,118.234,110.6964,94.028,107.3172,52.820852359650544,43.91560345754115,46.2941639518417,46.14324418763813,107.5,106.0,92.0,103.0,87.0,88.0,67.0,73.0,0.0,0.0,0.0,1.0,237.0,245.0,255.0,239.0,237.0,245.0,255.0,238.0,0.016514174030765796,-0.04130498463159265,0.6802894353091743,0.0529192621210794,-1.1344479457990118,-0.3540220181659057,0.7636479526329318,-0.7251622586773103,0.9480523353166374,0.933560547952919,0.9191704699948665,0.940203994393189,8.703125,1.6341145833333333,0.0,4.994791666666667,25.93359375,25.91015625,16.5087890625,24.3984375,17.23046875,24.276041666666668,16.5087890625,19.403645833333332,0.4783647058823529,0.2040061271946024,109.0,77.0,14.0,77.0,63.0,-0.11176450537680452,0.05255386885379787,0.008913747537603278,0.968699645311961,1.7164911207734335e-05,466.8934693877552,12.836326530612245,0.13197240085800072,0.02186627793629204,0.8905059602790565,1,pools
..\data\train\no_pools\img1004.jpg,70.7608,93.3864,107.9044,90.316,7.360080390865306,7.744642989834974,8.092419949557733,7.581988129771768,71.0,93.0,107.0,90.0,73.0,93.0,107.0,91.0,45.0,68.0,82.0,65.0,99.0,125.0,140.0,121.0,54.0,57.0,58.0,56.0,0.06085216958189867,0.4938874292709326,0.42939681500706883,0.3748229749507521,0.6191271303969388,0.9351422050547415,0.6880266658891956,0.825217201719755,0.8545164594511913,0.8467175359590499,0.855585550005219,0.8472320078388857,57.8013671875,80.81861413043478,94.77782012195122,77.80427631578948,62.870337701612904,84.89042721518987,98.92919303797468,81.82875,5.068970514112905,4.071813084755092,4.151372916023462,4.02447368421052,2.0588928571428573,3.4513029885682784,114.0,118.0,1.0,118.0,117.0,-30.243129192302824,57.033114396012635,0.8496742399999999,1.5585896530787604,0.0029911883978703813,21.242857142857147,3.2608163265306125,0.29870825617672586,0.06061258846875758,0.8117130233814409,0,no_pools
..\data\train\no_pools\img329.jpg,90.3336,89.5092,78.7896,85.9124,52.52013624353996,51.877281302705136,52.47261887727732,51.95418680183533,80.0,83.0,70.5,77.0,50.0,115.0,0.0,49.0,0.0,0.0,0.0,0.0,255.0,255.0,255.0,254.0,255.0,255.0,255.0,254.0,0.857933139082047,0.931310789287677,1.1580167437189963,0.9957592013625156,0.3901066112193754,0.7896460585614102,1.3217019870604805,0.8680484048663439,0.945256494785799,0.942911606502148,0.9347444967982192,0.9370626218796272,4.2578125,3.0078125,0.0,3.7451171875,14.983258928571429,13.092447916666666,7.0458984375,11.46875,10.725446428571429,10.084635416666666,7.0458984375,7.7236328125,0.3388472440944882,0.2048469770026709,77.0,49.0,127.0,49.0,-78.0,-0.03682904785984579,0.012223730294985226,0.0070957174976749955,0.9320234732428234,1.2217466207053995e-05,541.1151020408162,14.075918367346935,0.11214826865920369,0.019127142063444864,0.9009436245057747,1,no_pools
..\data\train\no_pools\img270.jpg,95.4436,102.158,83.9224,93.4832,65.80289673745375,63.34757008757321,65.13956998814162,64.59261968491447,77.0,88.0,62.0,75.0,79.0,92.0,64.0,78.0,0.0,0.0,0.0,0.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,1.229449350308737,1.171906443998356,1.3669981808865452,1.2699311849549177,0.621179035041338,0.6633221398043632,0.7810151203750424,0.7017222760123709,0.919978752454433,0.9185886427531814,0.9090955645045058,0.9138401521123107,3.0045572916666665,6.158854166666667,1.005859375,3.60546875,10.802556818181818,13.857421875,7.299107142857143,10.986328125,7.797999526515152,7.698567708333333,6.293247767857143,7.380859375,0.3666007843137255,0.2528132434395822,75.0,78.0,159.0,78.0,-81.0,-0.04580440239152382,0.016379562427051603,0.00944419869527105,0.9053468564253659,2.1512237867171713e-05,651.8608163265304,14.394693877551015,0.11390655292417864,0.02255078954540615,0.9230438414737557,1,no_pools
